,rmse_pred,mae_pred,rmse_corr,mae_corr
79,1.4136315779823965,1.2854021982982418,1.2540198949984234,1.1130230629701923
80,1.455834540919864,1.3243653942462446,1.2972153280315928,1.1527186101934068
81,1.4371144101800812,1.299227509643948,1.282449743048001,1.1288918849172604
82,1.4012283841716973,1.268341398591414,1.246882007421895,1.0986629434100619
83,1.3906846226286247,1.2632632964166246,1.2374175733315242,1.0949222701862942
84,1.4589073560959067,1.3318305338834326,1.301306247297278,1.1621191533092785
85,1.431307734686505,1.2923239435598708,1.2777889397987094,1.1245540694626401
86,1.3803773340076144,1.2486134414311183,1.2301790512872692,1.0826154017588876
87,1.4489511524459049,1.3175954966675867,1.2958132676927632,1.1516733956184793
88,1.4689032706120417,1.329328042752504,1.3160569377896312,1.16369999507435
89,1.4394063827849282,1.3058949174374428,1.2894875136817265,1.1420143516455157
90,1.4158285237601314,1.291251568145134,1.2652270873778213,1.1274846446858802
91,1.3988959465180935,1.267550526870851,1.2510603567609209,1.1053157438015884
92,1.4449826069267828,1.3080835296790894,1.2979231951435832,1.1468336204230654
93,1.4331447498816674,1.2990412221296794,1.2857299010160295,1.1376027645390052
94,1.4224438753970419,1.288402963100485,1.2767181176804192,1.1284771701716185
95,1.4492987379285636,1.3120040782073075,1.3047257971907342,1.1529296860351237
